Initial mixed population size: 1000. Mixed population ratio: (0.5,0.5)
==> Cycle: 158, Population ratio: (0.758,0.242)
==> Cycle: 159, Population ratio: (0.712,0.28800000000000003)
==> Cycle: 160, Population ratio: (0.696,0.30400000000000005)
==> Cycle: 161, Population ratio: (0.642,0.358)
==> Cycle: 162, Population ratio: (0.66,0.33999999999999997)
==> Cycle: 163, Population ratio: (0.722,0.278)
==> Cycle: 164, Population ratio: (0.692,0.30800000000000005)
==> Cycle: 165, Population ratio: (0.758,0.242)
==> Cycle: 166, Population ratio: (0.68,0.31999999999999995)
==> Cycle: 167, Population ratio: (0.614,0.386)
==> Cycle: 168, Population ratio: (0.676,0.32399999999999995)
==> Cycle: 169, Population ratio: (0.642,0.358)
==> Cycle: 170, Population ratio: (0.61,0.39)
==> Cycle: 171, Population ratio: (0.582,0.41800000000000004)
==> Cycle: 172, Population ratio: (0.538,0.46199999999999997)
==> Cycle: 173, Population ratio: (0.47,0.53)
==> Cycle: 174, Population ratio: (0.474,0.526)
==> Cycle: 175, Population ratio: (0.408,0.5920000000000001)
==> Cycle: 176, Population ratio: (0.35,0.65)
==> Cycle: 177, Population ratio: (0.36,0.64)
==> Cycle: 178, Population ratio: (0.39,0.61)
==> Cycle: 179, Population ratio: (0.388,0.612)
==> Cycle: 180, Population ratio: (0.44,0.56)
==> Cycle: 181, Population ratio: (0.388,0.612)
==> Cycle: 182, Population ratio: (0.474,0.526)
==> Cycle: 183, Population ratio: (0.574,0.42600000000000005)
==> Cycle: 184, Population ratio: (0.642,0.358)
==> Cycle: 185, Population ratio: (0.668,0.33199999999999996)
==> Cycle: 186, Population ratio: (0.724,0.276)
==> Cycle: 187, Population ratio: (0.658,0.34199999999999997)
==> Cycle: 188, Population ratio: (0.674,0.32599999999999996)
==> Cycle: 189, Population ratio: (0.736,0.264)
==> Cycle: 190, Population ratio: (0.734,0.266)
==> Cycle: 191, Population ratio: (0.678,0.32199999999999995)
==> Cycle: 192, Population ratio: (0.694,0.30600000000000005)
==> Cycle: 193, Population ratio: (0.74,0.26)
==> Cycle: 194, Population ratio: (0.756,0.244)
==> Cycle: 195, Population ratio: (0.752,0.248)
==> Cycle: 196, Population ratio: (0.772,0.22799999999999998)
==> Cycle: 197, Population ratio: (0.768,0.23199999999999998)
==> Cycle: 198, Population ratio: (0.748,0.252)
==> Cycle: 199, Population ratio: (0.712,0.28800000000000003)
==> Cycle: 200, Population ratio: (0.708,0.29200000000000004)
==> Cycle: 201, Population ratio: (0.74,0.26)
==> Cycle: 202, Population ratio: (0.722,0.278)
==> Cycle: 203, Population ratio: (0.66,0.33999999999999997)
==> Cycle: 204, Population ratio: (0.662,0.33799999999999997)
==> Cycle: 205, Population ratio: (0.7,0.30000000000000004)
==> Cycle: 206, Population ratio: (0.714,0.28600000000000003)
==> Cycle: 207, Population ratio: (0.7,0.30000000000000004)
==> Cycle: 208, Population ratio: (0.676,0.32399999999999995)
==> Cycle: 209, Population ratio: (0.698,0.30200000000000005)
==> Cycle: 210, Population ratio: (0.664,0.33599999999999997)
==> Cycle: 211, Population ratio: (0.676,0.32399999999999995)
==> Cycle: 212, Population ratio: (0.612,0.388)
==> Cycle: 213, Population ratio: (0.604,0.396)
==> Cycle: 214, Population ratio: (0.606,0.394)
==> Cycle: 215, Population ratio: (0.582,0.41800000000000004)
==> Cycle: 216, Population ratio: (0.572,0.42800000000000005)
==> Cycle: 217, Population ratio: (0.528,0.472)
